code;FR;IT;DE
; --- site.php ---;;
duree;Durée;;
mn;mn;;
;;;
; --- BOUTONS ---;;
btnRetour;Retour;Ritorno;Zurück
btnVider;Vider le panier;Vuotare il paniere;Warenkorb leeren
btnSuiv;Continuer;Continuare;Weiter
btnValid;Valider;Convalidare;Bestätigen
;;;
editions;Editions;Edizioni;Ausgaben
collection;Collection;Collezione;Sammlung
lesColl;Les collections;Le collezioni;Die Sammlungen
monPanier;Mon panier;il mio paniero;Mein Warenkorb
maCmd;Ma commande;La mia ordinazione;Meine Bestellung
panier;Votre panier;Il vostro paniere;Ihr Warenkorb
arts;Articles;Articoli;Artikel
mnt;Montant;Somma;Betrag
poids;Poids;Peso;Weight
quant;Quantité;Quantità;Menge
art;Article;Articolo;Artikel
total;Total;Totale;Total
prix;Prix;Prezzo;Preis
tva;TVA;IVA;MwSt
ht;HT;Oneri fiscali esclusi;o. MwSt
ttc;TTC;Tutte le tasse compresse;alles inbegriffen
port;Port;Spede di spedizione;Porto
txtFrais;Les frais d'expédition (port) seront calculés après saisie de l'adresse de livraison;Le spese di spedizione saranno calcolate dopo aver ricevuto l'indirizzo di consegna;Die Versandkosten (Porto) werden nach Erfassen der Lieferadresse berechnet
;;;
bulPlacer;Placer dans le panier;Porre nel paniere;In den Warenkorb legen
txtRuptur;En rupture de stock;Interruzionne dello stock;Nicht auf Lager
epuise;EPUISE;ESAURITO;VERGRIFFEN
; --- FACTURATION ---;;
coordFactu;Coordonnées de facturation;Coordinate della fattura;Angaben zur Rechnungsstellung
civil;Civilité;Civilità;Anrede
mr;Monsieur;Signore;Herr
mme;Madame;Signora;Frau
mlle;Mademoiselle;Signorina;vermissen
pere;Père;Padre;Vater
soeur;Soeur;Sorella;Schwester
frere;Frère;Fratello;Bruder
nom;Nom;Cognome;Name
prenom;Prénom;Nome;Vorname
ad;Adresse;Indirizzo;Adresse
cp;Code postal;Codice postale;Postleitzahl
ville;Ville;Cità;Ort
pays;Pays;Paese;Land
tel;Téléphone;Telefono;Telefon
email;e-mail;e-mail;E-Mail
mp;Mot de passe;Password;Passwort
mpOubli;Mot de passe oublié;Password dimenticata;Passwort vergessen
txtCadeau;<b>Pour un cadeau</b>, vous pouvez adresser un message au destinataire de votre achat.;Se si tratta di un regalo, potete rivolgere un messaggio al destinatario del tuo acquisto ;<b>Für ein Geschenk</b> können Sie an den Empfänger Ihres Einkaufs eine Mitteilung senden.
; --- LIVRAISON ---;;
coordLiv;Coordonnées de livraison;Coordinate della consegna;Angaben zur Lieferung
adLiv;Adresse de livraison;Indirizzo della consegna;Lieferadresse
adLivDif;Adresse de livraison différente de l'adresse de facturation;Indirizzo della consegna se diverso dall’indirizzo della fattura;Andere Lieferadresse als Rechnungsadresse
delaiTrans;Délais de transport;Tempo del trasporto;Transportfristen
liv1;Les livraisons sont effectuées dans un délai maximum de cinq (5) jours ouvrés ˆ compter de l'envoi du mail de confirmation de la commande du Client;;Die Lieferungen werden innerhalb einer Frist von maximal fünf (5) Werktagen ab Versand des Bestätigungsmails der Kundenbestellung getätigt
liv2;pour la France métropolitaine. Ce délai est de 10 jours ouvrés  maximum pour les livraisons hors métropole;;<b>Falls Sie bereits eine Bestellung </b>über diese Website getätigt haben, erfassen Sie<br> einzig Ihr <b>E-Mail</b> und Ihr <b>Passwort</b>
;;;
txtConfCmd;Confirmation de commande;Conferma dell’ordinazione;Bestellbestätigung
;;;
dim;Dimension;Dimensione;Masse
pages;Pages;Pagine;Seiten
;;;
txtDejaCmd;<b>Si vous avez déjà  fait une commande</b> par l'intermédiaire de ce site,<br> saisir uniquement votre <b>e-mail</b> et votre <b>mot de passe</b>;Se avete già fatto un’ordinazione con l’intermediario di questo sito, date unicamente la vostra e.mail e la vostra password;Falls Sie bereits eine Bestellung über diese Website getŠtigt haben,<br>erfassen Sie einzig Ihre E-Mail-Adresse und Ihr Passwort.
txtEngage;La société Roche d'Or s'engage à  être le seul destinataire des informations que vous lui communiquez. Elles pourront donner lieu à l'exercice du droit individuel d'accès dans les conditions prévues par la délibération n° 80 du 01/04/1980 de la Commission Informatique et Libertés.;La società Roche d’Or si impegna a essere il solo destinatario delle informazioni che le comunicate. Potranno dar luogo all’esercizio del diritto individuale di accesso nelle condizioni previste dalla delibera n° 80 del 01/04/1980 della Commissione Informatica e Libertà.;"Die Gesellschaft Roche d'Or verpflichtet sich, die alleinige Empfängerin der von Ihnen angegebenen Informationen zu sein. Sie können Anlass sein zur Ausübung des individuellen Zugangsrechts gemäss den im Beschluss Nr. 80 vom 01/04/1980 der Kommission für Informatik und Freiheit (""Commission Informatique et Libertés"") vorgesehenen Bedingungen."
txtSaisirEmail;Pourquoi saisir votre e-mail ?;Perché dare la vostra e.mail ?;Warum Ihre E-Mail-Adresse erfassen?
txtSaisirEmail1;Pour vous adresser votre confirmation de commande et si besoin des informations sur votre commande;Per inviarvi la vostra conferma di ordinazione e se necessario, informazioni sulla vostra ordinazione;Um Ihnen Ihre Bestellbestätigung und bei Bedarf Informationen zu Ihrer Bestellung zu senden
